id,full_name,gender,age,email,phone,education,college,iit_iim_nit,serial_entrepreneur,linkedin_profile,experience_years,prev_company,created_at,updated_at
128,Ashish Pandya,Male,25,ashish.pandya28@gmail.com,+91-9973353078,B.E,NIT Warangal,Yes,No,https://linkedin.com/in/ashish-pandya-377,2,Amazon,2023-09-04 08:57:34,2024-07-31 21:02:11
129,Rahul Rao,Male,42,rahul.rao97@gmail.com,+91-8710668371,M.Tech,IIM Ahmedabad,Yes,No,https://linkedin.com/in/rahul-rao-266,19,TCS,2022-05-10 12:43:57,2024-07-07 10:24:48
130,Mala Mehta,Female,40,mala.mehta7@gmail.com,+91-7419557255,B.Com,Anna University,No,No,https://linkedin.com/in/mala-mehta-958,3,Flipkart,2022-10-14 19:38:25,2023-12-01 00:40:17
131,Vivek Iyer,Male,35,vivek.iyer49@gmail.com,+91-8854772804,MBA,Amity,No,No,https://linkedin.com/in/vivek-iyer-187,25,Paytm,2019-04-24 07:45:04,2023-03-26 08:09:24
132,Usha Sen,Female,34,usha.sen14@gmail.com,+91-7393077279,B.Tech,Anna University,No,No,https://linkedin.com/in/usha-sen-555,12,None,2019-01-09 03:08:05,2023-07-11 13:28:35
133,Arjun Gupta,Male,26,arjun.gupta71@gmail.com,+91-7399707954,B.E,Anna University,No,No,https://linkedin.com/in/arjun-gupta-984,13,Google,2019-04-10 13:24:49,2023-03-28 23:57:35
134,Geeta Pandya,Female,29,geeta.pandya22@gmail.com,+91-7596313527,M.Sc,Jadavpur University,No,No,https://linkedin.com/in/geeta-pandya-374,16,Infosys,2016-09-16 05:27:17,2024-03-07 09:30:50
135,Manish Chopra,Male,31,manish.chopra77@gmail.com,+91-9648572296,B.Sc,SRM,No,No,https://linkedin.com/in/manish-chopra-209,5,Wipro,2016-01-28 12:21:53,2024-09-27 12:51:55
136,Pankaj Chatterjee,Male,37,pankaj.chatterjee18@gmail.com,+91-8290359719,PhD,FMS Delhi,No,No,https://linkedin.com/in/pankaj-chatterjee-590,11,Infosys,2020-06-19 10:18:47,2024-12-12 20:31:36
137,Shreya Sen,Female,32,shreya.sen47@gmail.com,+91-7489144474,B.E,Jadavpur University,No,No,https://linkedin.com/in/shreya-sen-706,18,Infosys,2023-08-24 17:01:46,2024-04-17 22:13:28
138,Sidharth Kumar,Male,50,sidharth.kumar87@gmail.com,+91-9144490990,MBA,BHU,No,No,https://linkedin.com/in/sidharth-kumar-347,9,None,2017-09-23 22:27:50,2024-01-22 02:28:38
139,Shiv Ghosh,Male,41,shiv.ghosh89@gmail.com,+91-8796587803,PGDM,Manipal,No,Yes,https://linkedin.com/in/shiv-ghosh-909,12,None,2022-01-08 19:40:58,2023-03-29 03:49:15
140,Sanjay Yadav,Male,25,sanjay.yadav83@gmail.com,+91-9909719639,B.Com,XLRI,No,No,https://linkedin.com/in/sanjay-yadav-915,14,Amazon,2016-02-13 03:16:14,2024-06-06 23:33:35
141,Pallavi Das,Female,36,pallavi.das99@gmail.com,+91-9918668580,B.E,VIT,No,No,https://linkedin.com/in/pallavi-das-453,1,BYJU'S,2017-03-04 09:26:58,2023-03-29 03:53:46
142,Neha Khanna,Female,34,neha.khanna27@gmail.com,+91-9238171141,CA,VIT,No,No,https://linkedin.com/in/neha-khanna-587,4,BYJU'S,2023-10-24 14:20:04,2023-11-04 01:51:45
143,Rahul Chatterjee,Male,44,rahul.chatterjee87@gmail.com,+91-7705895455,B.Sc,IIT Kharagpur,Yes,No,https://linkedin.com/in/rahul-chatterjee-665,6,Flipkart,2022-04-12 13:29:14,2024-02-19 20:11:11
144,Deepak Gupta,Male,47,deepak.gupta26@gmail.com,+91-8930909978,B.E,FMS Delhi,No,No,https://linkedin.com/in/deepak-gupta-498,1,None,2018-05-29 06:17:48,2024-12-21 02:36:06
145,Neha Banerjee,Female,30,neha.banerjee15@gmail.com,+91-8126799232,CA,VIT,No,No,https://linkedin.com/in/neha-banerjee-711,13,Paytm,2020-05-26 18:07:22,2023-12-27 14:39:11
146,Tarun Yadav,Male,42,tarun.yadav87@gmail.com,+91-7575301286,PhD,IIT Madras,Yes,Yes,https://linkedin.com/in/tarun-yadav-344,10,Amazon,2018-01-19 11:44:09,2024-06-07 12:26:38
147,Geeta Sen,Female,37,geeta.sen63@gmail.com,+91-9729458763,PGDM,IIM Bangalore,Yes,No,https://linkedin.com/in/geeta-sen-668,6,BYJU'S,2019-03-29 04:11:20,2024-04-06 19:03:55
148,Rahul Desai,Male,28,rahul.desai50@gmail.com,+91-9411976659,PGDM,NIT Trichy,Yes,No,https://linkedin.com/in/rahul-desai-518,22,BYJU'S,2020-08-29 22:53:28,2024-05-15 05:05:36
149,Mohit Iyer,Male,33,mohit.iyer36@gmail.com,+91-7965695131,PGDM,IIT Delhi,Yes,No,https://linkedin.com/in/mohit-iyer-272,25,BYJU'S,2022-05-05 23:49:49,2024-05-22 17:32:07
150,Nikhil Modi,Male,50,nikhil.modi70@gmail.com,+91-7178715833,CA,Anna University,No,No,https://linkedin.com/in/nikhil-modi-535,4,None,2023-05-01 07:19:55,2023-02-03 14:16:22
151,Pankaj Agarwal,Male,48,pankaj.agarwal27@gmail.com,+91-9525113890,PhD,NIT Warangal,Yes,No,https://linkedin.com/in/pankaj-agarwal-269,20,Infosys,2018-04-26 06:51:03,2024-08-06 11:34:17
152,Shreya Kapoor,Female,33,shreya.kapoor35@gmail.com,+91-9209395548,M.Tech,XLRI,No,No,https://linkedin.com/in/shreya-kapoor-868,14,Google,2019-02-09 20:08:44,2023-05-16 07:09:45
153,Sidharth Pillai,Male,48,sidharth.pillai63@gmail.com,+91-7610622521,B.E,Jadavpur University,No,No,https://linkedin.com/in/sidharth-pillai-742,14,Zomato,2021-01-25 02:40:50,2023-04-06 12:32:47
154,Varun Das,Male,38,varun.das42@gmail.com,+91-9499480048,B.Tech,SRM,No,Yes,https://linkedin.com/in/varun-das-848,15,None,2023-06-13 22:22:54,2023-03-06 17:25:13
155,Sidharth Rao,Male,39,sidharth.rao42@gmail.com,+91-8218023007,PhD,BITS Pilani,Yes,No,https://linkedin.com/in/sidharth-rao-679,16,None,2019-11-08 21:48:03,2023-02-17 03:40:50
156,Rahul Agarwal,Male,51,rahul.agarwal57@gmail.com,+91-8960730480,B.Tech,IIM Bangalore,Yes,No,https://linkedin.com/in/rahul-agarwal-307,23,Infosys,2023-04-16 09:10:55,2023-10-08 02:41:23
157,Vikram Das,Male,45,vikram.das7@gmail.com,+91-8702274064,M.Sc,IIM Bangalore,Yes,No,https://linkedin.com/in/vikram-das-539,21,Amazon,2023-11-22 03:00:13,2024-05-03 02:08:37
158,Lakshmi Mukherjee,Female,24,lakshmi.mukherjee90@gmail.com,+91-8475639733,M.Tech,IIT Bombay,Yes,No,https://linkedin.com/in/lakshmi-mukherjee-810,5,BYJU'S,2016-10-17 07:24:05,2023-04-15 03:20:23
159,Rajesh Sen,Male,48,rajesh.sen83@gmail.com,+91-9908281627,MBA,IIM Ahmedabad,Yes,Yes,https://linkedin.com/in/rajesh-sen-643,19,Google,2022-11-04 20:10:28,2023-12-26 23:13:40
160,Vandana Dutta,Female,43,vandana.dutta28@gmail.com,+91-7372322246,M.Tech,VIT,No,No,https://linkedin.com/in/vandana-dutta-870,4,Paytm,2020-04-21 11:27:20,2023-05-24 07:17:41
161,Karan Bhatt,Male,43,karan.bhatt93@gmail.com,+91-9609592494,M.Sc,FMS Delhi,No,Yes,https://linkedin.com/in/karan-bhatt-968,22,Wipro,2018-04-21 16:38:32,2023-07-13 23:25:18
162,Mohit Pillai,Male,39,mohit.pillai15@gmail.com,+91-8035438246,CA,Jadavpur University,No,Yes,https://linkedin.com/in/mohit-pillai-640,1,Flipkart,2019-07-20 04:24:55,2024-08-05 13:23:34
163,Kiran Shah,Female,48,kiran.shah3@gmail.com,+91-9522707023,M.Tech,IIT Madras,Yes,Yes,https://linkedin.com/in/kiran-shah-368,7,Google,2016-09-04 12:32:18,2024-10-05 22:32:49
164,Gaurav Ghosh,Male,26,gaurav.ghosh69@gmail.com,+91-9645901955,MBA,Amity,No,No,https://linkedin.com/in/gaurav-ghosh-185,10,Amazon,2021-09-25 06:51:09,2024-07-03 10:25:37
165,Rohit Roy,Male,47,rohit.roy8@gmail.com,+91-8050032570,M.Tech,NIT Warangal,Yes,No,https://linkedin.com/in/rohit-roy-218,15,Paytm,2022-10-29 01:19:42,2024-11-04 23:11:07
166,Varun Verma,Male,46,varun.verma21@gmail.com,+91-9132077306,PhD,IIT Bombay,Yes,No,https://linkedin.com/in/varun-verma-270,12,Infosys,2019-01-05 23:56:07,2023-01-31 10:51:27
167,Alok Kumar,Male,32,alok.kumar81@gmail.com,+91-7331013265,CA,XLRI,No,No,https://linkedin.com/in/alok-kumar-623,12,Google,2021-08-08 18:10:23,2023-06-11 08:49:06
168,Karan Trivedi,Male,24,karan.trivedi2@gmail.com,+91-8050340486,B.Tech,IIT Delhi,Yes,No,https://linkedin.com/in/karan-trivedi-472,13,Infosys,2018-01-03 01:35:51,2024-11-02 13:14:20
169,Shweta Banerjee,Female,32,shweta.banerjee74@gmail.com,+91-8601198885,M.Tech,IIT Madras,Yes,Yes,https://linkedin.com/in/shweta-banerjee-283,8,None,2021-10-13 01:25:04,2024-04-21 09:49:54
170,Suresh Mehta,Male,41,suresh.mehta2@gmail.com,+91-8584496586,B.Sc,VIT,No,No,https://linkedin.com/in/suresh-mehta-677,10,None,2022-12-25 07:29:23,2024-08-28 15:49:49
171,Usha Modi,Female,48,usha.modi20@gmail.com,+91-7027392783,B.Com,NIT Warangal,Yes,Yes,https://linkedin.com/in/usha-modi-338,18,Flipkart,2023-02-17 22:56:00,2023-12-10 00:48:42
172,Dinesh Khanna,Male,27,dinesh.khanna68@gmail.com,+91-8022922016,B.Com,NIT Trichy,Yes,No,https://linkedin.com/in/dinesh-khanna-161,5,None,2019-02-20 02:02:58,2023-08-26 16:26:44
173,Pankaj Mehta,Male,42,pankaj.mehta65@gmail.com,+91-7573437604,B.Com,IIT Kharagpur,Yes,Yes,https://linkedin.com/in/pankaj-mehta-706,19,Google,2020-11-16 21:08:15,2023-10-26 08:54:20
174,Varun Banerjee,Male,34,varun.banerjee35@gmail.com,+91-8003352579,M.Tech,VIT,No,No,https://linkedin.com/in/varun-banerjee-239,25,None,2022-07-22 03:09:06,2023-06-18 14:29:20
175,Arjun Modi,Male,35,arjun.modi58@gmail.com,+91-8324171556,CA,NIT Trichy,Yes,No,https://linkedin.com/in/arjun-modi-972,4,Amazon,2017-10-07 21:19:52,2024-12-22 22:38:02
176,Seema Banerjee,Female,28,seema.banerjee92@gmail.com,+91-8066091571,PhD,IIT Madras,Yes,No,https://linkedin.com/in/seema-banerjee-625,2,None,2019-05-09 08:52:11,2023-02-01 12:54:28
177,Pooja Basu,Female,27,pooja.basu16@gmail.com,+91-7051354601,B.Tech,IIM Ahmedabad,Yes,No,https://linkedin.com/in/pooja-basu-233,7,Zomato,2020-03-04 21:40:41,2023-03-28 18:37:16
178,Rahul Kumar,Male,30,rahul.kumar17@gmail.com,+91-7395045224,PhD,VIT,No,Yes,https://linkedin.com/in/rahul-kumar-143,15,Google,2017-11-19 18:27:52,2024-02-09 15:01:24
179,Sanjay Bose,Male,30,sanjay.bose36@gmail.com,+91-8201966146,CA,IIM Bangalore,Yes,No,https://linkedin.com/in/sanjay-bose-135,20,Paytm,2022-12-02 07:41:18,2024-05-25 13:56:35
180,Amit Mehta,Male,32,amit.mehta18@gmail.com,+91-8800599868,B.Sc,Jadavpur University,No,No,https://linkedin.com/in/amit-mehta-745,18,None,2016-03-20 12:50:45,2024-01-03 15:34:50
181,Manish Chaudhary,Male,40,manish.chaudhary50@gmail.com,+91-8161512446,MBA,Pune University,No,Yes,https://linkedin.com/in/manish-chaudhary-426,20,TCS,2016-04-30 08:03:51,2024-04-28 16:22:49
182,Divya Joshi,Female,31,divya.joshi35@gmail.com,+91-9292179207,B.Tech,NIT Warangal,Yes,No,https://linkedin.com/in/divya-joshi-689,13,Flipkart,2017-12-12 05:15:37,2023-11-22 23:44:22
183,Varun Bose,Male,42,varun.bose19@gmail.com,+91-9418534256,B.Sc,XLRI,No,No,https://linkedin.com/in/varun-bose-655,10,Infosys,2021-07-01 01:05:03,2023-08-27 19:14:01
184,Rahul Chatterjee,Male,43,rahul.chatterjee17@gmail.com,+91-8463548951,MBA,NIT Trichy,Yes,No,https://linkedin.com/in/rahul-chatterjee-160,1,Infosys,2022-07-30 22:58:09,2023-04-24 16:55:23
185,Manish Ghosh,Male,42,manish.ghosh44@gmail.com,+91-8296071464,PhD,IIT Kharagpur,Yes,No,https://linkedin.com/in/manish-ghosh-261,24,Zomato,2023-03-03 15:41:20,2023-06-28 22:35:44
186,Karan Tiwari,Male,50,karan.tiwari49@gmail.com,+91-8317795722,M.Sc,IIM Bangalore,Yes,No,https://linkedin.com/in/karan-tiwari-281,24,Google,2023-11-15 18:25:54,2024-08-04 01:11:38
187,Tarun Yadav,Male,31,tarun.yadav14@gmail.com,+91-9131098613,MBA,XLRI,No,No,https://linkedin.com/in/tarun-yadav-863,3,TCS,2019-11-21 10:10:40,2023-04-01 22:42:40
188,Pankaj Sharma,Male,32,pankaj.sharma32@gmail.com,+91-9977168607,M.Tech,NIT Trichy,Yes,No,https://linkedin.com/in/pankaj-sharma-362,4,None,2016-01-06 01:24:28,2024-03-05 05:56:26
189,Ashish Sen,Male,35,ashish.sen49@gmail.com,+91-7435632331,CA,Amity,No,No,https://linkedin.com/in/ashish-sen-266,15,Amazon,2016-05-16 09:01:20,2023-09-25 03:04:21
190,Sudha Sen,Female,29,sudha.sen71@gmail.com,+91-7399881571,PhD,IIT Madras,Yes,No,https://linkedin.com/in/sudha-sen-821,1,Zomato,2023-05-01 05:38:56,2024-03-20 05:03:06
191,Aditya Menon,Male,37,aditya.menon93@gmail.com,+91-9319821061,M.Sc,Amity,No,No,https://linkedin.com/in/aditya-menon-404,8,Amazon,2016-07-22 12:36:35,2024-05-17 04:03:23
192,Gaurav Mehta,Male,33,gaurav.mehta62@gmail.com,+91-7857596764,M.Tech,FMS Delhi,No,Yes,https://linkedin.com/in/gaurav-mehta-311,6,None,2019-04-10 02:30:54,2023-04-29 09:50:25
193,Vivek Chopra,Male,26,vivek.chopra50@gmail.com,+91-7794058803,PhD,Amity,No,No,https://linkedin.com/in/vivek-chopra-478,6,BYJU'S,2016-07-01 08:28:29,2023-09-27 07:53:17
194,Rajesh Joshi,Male,26,rajesh.joshi70@gmail.com,+91-8778059107,B.E,Anna University,No,No,https://linkedin.com/in/rajesh-joshi-666,2,Zomato,2021-11-10 13:34:43,2024-05-01 18:56:15
195,Rohit Mehta,Male,36,rohit.mehta65@gmail.com,+91-9453370912,PGDM,IIT Delhi,Yes,No,https://linkedin.com/in/rohit-mehta-223,25,BYJU'S,2017-12-09 05:13:51,2023-07-17 04:02:27
196,Kunal Roy,Male,30,kunal.roy77@gmail.com,+91-8107613491,PhD,IIM Ahmedabad,Yes,Yes,https://linkedin.com/in/kunal-roy-189,13,Ola,2020-06-15 17:20:54,2023-10-10 16:29:58
197,Mohit Yadav,Male,42,mohit.yadav54@gmail.com,+91-7483264745,B.Com,Manipal,No,No,https://linkedin.com/in/mohit-yadav-251,19,Paytm,2022-07-14 03:59:06,2024-07-30 03:50:18
198,Ashish Dutta,Male,32,ashish.dutta84@gmail.com,+91-9085570788,B.E,Jadavpur University,No,No,https://linkedin.com/in/ashish-dutta-138,6,Wipro,2020-07-08 04:39:38,2024-11-28 22:25:02
199,Ashish Chatterjee,Male,46,ashish.chatterjee7@gmail.com,+91-9041046587,M.Sc,NIT Warangal,Yes,No,https://linkedin.com/in/ashish-chatterjee-120,11,None,2019-05-26 09:17:53,2024-05-18 22:43:06
200,Kavya Khanna,Female,47,kavya.khanna42@gmail.com,+91-8157150012,B.Com,VIT,No,Yes,https://linkedin.com/in/kavya-khanna-292,15,TCS,2020-07-25 23:31:48,2024-06-12 11:52:03
201,Ananya Khanna,Female,46,ananya.khanna52@gmail.com,+91-7582611532,PGDM,Manipal,No,Yes,https://linkedin.com/in/ananya-khanna-277,7,TCS,2016-08-24 07:02:29,2023-02-21 11:45:12
202,Manish Basu,Male,40,manish.basu82@gmail.com,+91-7532029870,B.Tech,Jadavpur University,No,No,https://linkedin.com/in/manish-basu-481,16,Paytm,2021-01-01 05:55:30,2024-08-23 17:22:22
203,Seema Chopra,Female,47,seema.chopra37@gmail.com,+91-7117898946,B.Com,IIT Madras,Yes,Yes,https://linkedin.com/in/seema-chopra-266,19,None,2018-05-27 07:41:14,2024-11-24 06:17:41
204,Alok Gupta,Male,51,alok.gupta61@gmail.com,+91-7568284681,MBA,IIT Bombay,Yes,Yes,https://linkedin.com/in/alok-gupta-329,9,Paytm,2019-06-05 22:45:41,2023-10-09 13:57:24
205,Pankaj Chopra,Male,30,pankaj.chopra39@gmail.com,+91-9908535332,PGDM,VIT,No,No,https://linkedin.com/in/pankaj-chopra-698,4,Google,2021-09-26 21:53:53,2024-01-19 17:41:38
206,Rohit Joshi,Male,39,rohit.joshi44@gmail.com,+91-8187486518,PhD,IIT Madras,Yes,No,https://linkedin.com/in/rohit-joshi-367,21,None,2023-04-22 09:12:09,2024-06-13 07:57:03
207,Kunal Banerjee,Male,45,kunal.banerjee93@gmail.com,+91-7109329542,CA,IIM Ahmedabad,Yes,No,https://linkedin.com/in/kunal-banerjee-365,14,Zomato,2020-05-09 23:02:37,2024-12-26 18:52:12
208,Ravi Iyer,Male,45,ravi.iyer82@gmail.com,+91-9043267129,PhD,Amity,No,No,https://linkedin.com/in/ravi-iyer-965,6,None,2022-04-05 05:18:06,2024-04-27 04:47:16
209,Radha Chatterjee,Female,44,radha.chatterjee29@gmail.com,+91-8525930586,B.Sc,IIT Madras,Yes,No,https://linkedin.com/in/radha-chatterjee-530,11,Flipkart,2018-12-03 18:18:29,2023-05-01 15:03:55
210,Vivek Menon,Male,40,vivek.menon88@gmail.com,+91-8639256813,PGDM,IIT Kharagpur,Yes,No,https://linkedin.com/in/vivek-menon-523,2,Infosys,2017-07-16 06:21:26,2024-08-06 14:09:20
211,Kiran Mehta,Female,39,kiran.mehta81@gmail.com,+91-7759454456,PhD,Pune University,No,Yes,https://linkedin.com/in/kiran-mehta-104,15,Wipro,2018-05-07 05:36:48,2023-06-12 15:50:48
212,Rajesh Yadav,Male,37,rajesh.yadav52@gmail.com,+91-8842650262,CA,BHU,No,No,https://linkedin.com/in/rajesh-yadav-104,2,Ola,2018-03-27 23:23:00,2023-11-26 16:12:01
213,Mahesh Pillai,Male,31,mahesh.pillai40@gmail.com,+91-7553753599,M.Tech,Anna University,No,No,https://linkedin.com/in/mahesh-pillai-615,19,Wipro,2017-11-15 02:52:02,2023-11-02 09:29:46
214,Gaurav Verma,Male,34,gaurav.verma46@gmail.com,+91-7809283659,MBA,SRM,No,No,https://linkedin.com/in/gaurav-verma-119,8,TCS,2017-06-21 06:46:01,2024-08-26 16:10:07
215,Varun Singh,Male,36,varun.singh99@gmail.com,+91-9296662600,B.E,BITS Pilani,Yes,Yes,https://linkedin.com/in/varun-singh-708,2,None,2017-03-18 20:53:01,2023-02-19 22:07:26
216,Deepak Agarwal,Male,41,deepak.agarwal61@gmail.com,+91-7657675888,B.Sc,BITS Pilani,Yes,Yes,https://linkedin.com/in/deepak-agarwal-408,14,None,2017-02-17 21:33:17,2024-09-29 19:44:08
217,Sidharth Joshi,Male,40,sidharth.joshi16@gmail.com,+91-8214216328,M.Tech,FMS Delhi,No,Yes,https://linkedin.com/in/sidharth-joshi-609,7,Paytm,2018-03-29 08:53:33,2023-07-26 11:45:26
218,Sanjay Singh,Male,41,sanjay.singh27@gmail.com,+91-9955813290,CA,SRM,No,No,https://linkedin.com/in/sanjay-singh-340,1,Google,2023-07-14 02:58:07,2024-08-10 21:31:09
219,Ankit Trivedi,Male,26,ankit.trivedi33@gmail.com,+91-9767405445,B.Sc,IIT Kharagpur,Yes,No,https://linkedin.com/in/ankit-trivedi-403,9,BYJU'S,2016-07-24 03:52:11,2023-02-10 09:23:51
220,Gaurav Agarwal,Male,27,gaurav.agarwal2@gmail.com,+91-7594399606,MBA,IIT Delhi,Yes,No,https://linkedin.com/in/gaurav-agarwal-466,15,Paytm,2019-01-03 23:05:23,2023-12-17 05:07:25
221,Pankaj Malhotra,Male,50,pankaj.malhotra89@gmail.com,+91-9054046672,B.Com,Jadavpur University,No,No,https://linkedin.com/in/pankaj-malhotra-215,5,None,2016-08-28 05:06:26,2024-08-27 15:51:36
222,Sanjay Yadav,Male,36,sanjay.yadav79@gmail.com,+91-7123764767,MBA,Anna University,No,No,https://linkedin.com/in/sanjay-yadav-599,4,Zomato,2020-12-10 01:04:16,2024-11-01 10:00:45
223,Radha Chatterjee,Female,40,radha.chatterjee89@gmail.com,+91-9655316364,M.Tech,Manipal,No,No,https://linkedin.com/in/radha-chatterjee-777,24,TCS,2021-05-27 11:42:43,2024-10-18 12:09:53
224,Rahul Reddy,Male,40,rahul.reddy64@gmail.com,+91-7710404224,M.Tech,SRM,No,No,https://linkedin.com/in/rahul-reddy-428,8,Flipkart,2019-02-13 01:32:14,2024-07-17 20:24:25
225,Ananya Basu,Female,38,ananya.basu58@gmail.com,+91-7378042415,CA,XLRI,No,No,https://linkedin.com/in/ananya-basu-423,4,BYJU'S,2023-04-30 00:06:25,2024-02-27 01:35:35
226,Sidharth Mehta,Male,49,sidharth.mehta80@gmail.com,+91-9738205384,M.Sc,FMS Delhi,No,No,https://linkedin.com/in/sidharth-mehta-770,22,BYJU'S,2019-10-28 11:52:03,2023-08-17 14:21:35
227,Varun Das,Male,46,varun.das15@gmail.com,+91-7418488804,B.Sc,VIT,No,Yes,https://linkedin.com/in/varun-das-449,12,None,2019-04-10 17:33:23,2024-12-19 03:02:57
228,Smita Verma,Female,50,smita.verma14@gmail.com,+91-8092164263,B.E,BHU,No,No,https://linkedin.com/in/smita-verma-292,4,Zomato,2018-06-02 14:52:50,2023-07-15 22:21:06
229,Amit Tiwari,Male,27,amit.tiwari59@gmail.com,+91-9828049969,B.E,VIT,No,No,https://linkedin.com/in/amit-tiwari-610,1,Ola,2016-07-17 17:59:27,2024-08-22 15:59:32
230,Sita Tiwari,Female,29,sita.tiwari14@gmail.com,+91-8663894274,B.E,IIM Ahmedabad,Yes,No,https://linkedin.com/in/sita-tiwari-616,13,Zomato,2022-10-30 22:48:15,2023-10-08 12:21:18
231,Mohit Verma,Male,28,mohit.verma78@gmail.com,+91-9200288670,M.Sc,BHU,No,No,https://linkedin.com/in/mohit-verma-828,24,Ola,2023-02-04 06:12:13,2024-10-01 22:18:43
232,Tarun Verma,Male,46,tarun.verma65@gmail.com,+91-9329983136,PhD,IIM Bangalore,Yes,Yes,https://linkedin.com/in/tarun-verma-879,12,Ola,2021-05-21 18:36:42,2024-12-28 13:43:47
233,Ashish Roy,Male,49,ashish.roy67@gmail.com,+91-7457287198,B.Tech,IIT Bombay,Yes,No,https://linkedin.com/in/ashish-roy-248,2,None,2016-08-19 06:17:48,2023-06-14 09:43:16
234,Seema Patel,Female,46,seema.patel27@gmail.com,+91-9324316421,B.Tech,Delhi University,No,No,https://linkedin.com/in/seema-patel-933,15,Amazon,2022-11-28 21:47:35,2023-08-18 23:41:35
235,Karan Trivedi,Male,49,karan.trivedi89@gmail.com,+91-9853978147,B.Tech,Delhi University,No,No,https://linkedin.com/in/karan-trivedi-496,14,None,2023-09-07 10:35:03,2023-01-14 23:16:12
236,Sidharth Iyer,Male,44,sidharth.iyer97@gmail.com,+91-9527095794,PGDM,Anna University,No,No,https://linkedin.com/in/sidharth-iyer-894,24,TCS,2019-04-19 14:11:43,2023-03-18 05:11:47
237,Deepak Singh,Male,37,deepak.singh72@gmail.com,+91-8134900434,MBA,BITS Pilani,Yes,No,https://linkedin.com/in/deepak-singh-698,9,Google,2019-09-15 14:45:59,2023-06-08 01:09:59
238,Pradeep Patel,Male,48,pradeep.patel85@gmail.com,+91-8293450101,CA,FMS Delhi,No,No,https://linkedin.com/in/pradeep-patel-174,23,Flipkart,2021-11-22 07:11:33,2023-03-11 16:10:26
239,Vikram Bose,Male,31,vikram.bose85@gmail.com,+91-8425428846,PhD,NIT Trichy,Yes,No,https://linkedin.com/in/vikram-bose-400,7,None,2022-12-07 16:30:35,2024-10-26 00:07:42
240,Pankaj Pillai,Male,52,pankaj.pillai80@gmail.com,+91-8047229693,B.Tech,FMS Delhi,No,No,https://linkedin.com/in/pankaj-pillai-490,4,Zomato,2018-11-16 17:46:18,2023-01-26 16:52:49
241,Alok Trivedi,Male,38,alok.trivedi6@gmail.com,+91-8273174184,B.Sc,SRM,No,No,https://linkedin.com/in/alok-trivedi-626,3,Amazon,2017-11-16 17:34:00,2024-10-03 02:13:42
242,Rekha Roy,Female,50,rekha.roy27@gmail.com,+91-9309636755,B.Com,IIT Kharagpur,Yes,Yes,https://linkedin.com/in/rekha-roy-864,22,Infosys,2016-04-07 14:45:21,2023-02-08 02:04:03
243,Mala Chopra,Female,41,mala.chopra74@gmail.com,+91-7977730531,M.Sc,IIT Madras,Yes,No,https://linkedin.com/in/mala-chopra-497,15,None,2020-07-14 13:20:01,2024-02-03 21:07:34
244,Mahesh Yadav,Male,26,mahesh.yadav6@gmail.com,+91-7311769311,PhD,XLRI,No,Yes,https://linkedin.com/in/mahesh-yadav-396,22,Wipro,2022-10-20 02:18:48,2024-03-24 12:25:52
245,Vivek Reddy,Male,41,vivek.reddy18@gmail.com,+91-8679300279,PGDM,NIT Warangal,Yes,No,https://linkedin.com/in/vivek-reddy-749,5,Wipro,2023-08-06 23:41:23,2023-01-12 17:55:35
246,Pooja Singh,Female,24,pooja.singh77@gmail.com,+91-8692568000,PGDM,XLRI,No,Yes,https://linkedin.com/in/pooja-singh-412,7,None,2019-11-09 06:26:57,2024-10-23 16:09:10
247,Meera Yadav,Female,50,meera.yadav25@gmail.com,+91-7492300084,MBA,BITS Pilani,Yes,Yes,https://linkedin.com/in/meera-yadav-971,25,Ola,2021-03-04 20:35:04,2023-10-25 21:04:16
248,Aditya Tiwari,Male,39,aditya.tiwari46@gmail.com,+91-7550679848,B.Sc,Pune University,No,Yes,https://linkedin.com/in/aditya-tiwari-391,20,Amazon,2018-03-03 10:31:28,2023-12-03 19:42:19
249,Geeta Chaudhary,Female,35,geeta.chaudhary55@gmail.com,+91-7724301196,B.Tech,Pune University,No,No,https://linkedin.com/in/geeta-chaudhary-352,8,None,2023-03-09 13:17:53,2024-01-04 04:43:46
250,Ashish Shah,Male,38,ashish.shah46@gmail.com,+91-8311991364,CA,VIT,No,Yes,https://linkedin.com/in/ashish-shah-279,21,Paytm,2016-12-01 08:54:52,2023-05-24 17:12:16
251,Ravi Kumar,Male,52,ravi.kumar65@gmail.com,+91-9712815143,B.Tech,IIT Bombay,Yes,No,https://linkedin.com/in/ravi-kumar-887,19,TCS,2016-05-30 17:16:34,2024-07-06 15:41:49
252,Neha Ghosh,Female,31,neha.ghosh94@gmail.com,+91-8249831874,MBA,XLRI,No,No,https://linkedin.com/in/neha-ghosh-613,17,Amazon,2020-06-13 11:32:00,2024-11-09 07:54:51
253,Kiran Trivedi,Female,28,kiran.trivedi21@gmail.com,+91-7769422699,B.E,VIT,No,No,https://linkedin.com/in/kiran-trivedi-853,24,BYJU'S,2020-01-09 01:14:48,2024-05-14 07:04:16
254,Karan Singh,Male,45,karan.singh67@gmail.com,+91-8551562813,B.Com,NIT Trichy,Yes,No,https://linkedin.com/in/karan-singh-565,2,Google,2023-04-10 10:06:45,2024-06-17 20:53:17
